"Page","Section","Section Description"
"Home","Navbar","Company description:
DAYRADE is a skill-based esports arena for competitive day traders. Users compete in fair tournaments across three divisions (Elevator, Crusader, Raider), build AI spirit animal personas, and learn financial literacy through daily lessons and educational content.

Goals:
- Primary: Drive user sign-ups and KYC verification
- Secondary: Tournament registrations, community engagement via podcast/blog

Other relevant notes:
- Include these pages: Home, Onboarding Flow, KYC Verification, Trading Accounts & Tickets, Rewards & User Status, Divisions Overview, Elevator Division, Crusader Division, Raider Division, Tournaments Overview, Leaderboard, Schedule, Creator Kit, Learn Overview, Daily Lessons, Glossary, Community Overview, Podcast, Blog/Episodes, Player Spotlights, About Overview, Our Story, Contact/Support, FAQ
- Template pages for: Single Lesson, Single Glossary Term, Single Podcast Episode, Single Blog Post, Single Player Spotlight
- Design: Dual-theme (light/dark), Olymptrade style (dark, high-tech, 3D, neon accents)
- No social proof (startup)
- 6-10 sections per page"
"","Hero Header Section","H1: Trade Like a Pro. Compete Like an Athlete. Subhead: Skill-based arena where traders compete in fair tournaments. Build your persona, master markets, rise through ranks. CTA: Sign Up Now"
"","How It Works Section","H2: Your Path to Trading Mastery. 1️⃣ Create Persona – AI spirit animal + profile (2 min). 2️⃣ Learn & Practice – Daily lessons on psychology, risk, analysis. 3️⃣ Compete & Win – Tournaments with virtual capital. Prizes for skill. CTA: Start Your Journey"
"","Features List Section","H2: Three Divisions. One Arena. Elevator: Beginner, free entry, education + points. Crusader: Intermediate, low-cost tickets, up to $1K prizes. Raider: Advanced, premium tickets, up to $10K prizes. CTA: Explore Divisions"
"","Feature Section","H2: Why DAYRADE is Different. Other platforms isolate you and risk your money. Without structure, 90% lose. DAYRADE = Sport + Education + Esports. Fair Play: Same virtual capital—skill wins. Education: Daily lessons + glossary + practice. Transparency: No hidden fees or manipulation; anti-cheat. Community: Global traders, podcasts, shared strategies."
"","Feature Section","H2: Master Money. Not Just Markets. Understand markets, manage risk, and make informed choices. Learn or compete—we empower your financial future. CTA: Start Learning Today"
"","CTA Section","H2: Your Arena Awaits. Join traders sharpening skills, winning prizes, and mastering markets. Free account in 2 minutes. CTA: Sign Up Now"
"","Hero Header Section","H2: The Journey Begins. Headline: Your Journey to Legend Status Begins Now. Create your persona and join the arena—simple, fast, secure. CTA: Start the Journey"
"","Feature Section","H2: Enter Your Email. Headline: Enter Your Email. Your key to the arena; privacy respected. Input: Email + Continue"
"","Feature Section","H2: Connect a Social Account. Headline: Connect a Social Account. DAYRADE is community-driven; connect for verification and easy sharing. CTA: Twitter"
"","Footer",""
"How It Works","Navbar","Company description:
DAYRADE is a skill-based esports arena for competitive day traders. Users compete in fair tournaments across three divisions (Elevator, Crusader, Raider), build AI spirit animal personas, and learn financial literacy through daily lessons and educational content.

Goals:
- Primary: Drive user sign-ups and KYC verification
- Secondary: Tournament registrations, community engagement via podcast/blog

Other relevant notes:
- Include these pages: Home, Onboarding Flow, KYC Verification, Trading Accounts & Tickets, Rewards & User Status, Divisions Overview, Elevator Division, Crusader Division, Raider Division, Tournaments Overview, Leaderboard, Schedule, Creator Kit, Learn Overview, Daily Lessons, Glossary, Community Overview, Podcast, Blog/Episodes, Player Spotlights, About Overview, Our Story, Contact/Support, FAQ
- Template pages for: Single Lesson, Single Glossary Term, Single Podcast Episode, Single Blog Post, Single Player Spotlight
- Design: Dual-theme (light/dark), Olymptrade style (dark, high-tech, 3D, neon accents)
- No social proof (startup)
- 6-10 sections per page"
